id,ahu,air,airCooling,airRef,area,boiler,bypass,chilled,chilledWaterCooling,chilledWaterRef,chiller,cmd,computed,cool,cooling,cur,damper,daytime,delta,directZone,dis,discharge,domestic,effective,elecHeating,enable,entering,enum,equip,equipRef,exhaust,fan,fanPowered,fcu,flow,geoAddr,geoCity,geoCoord,geoCountry,geoCounty,geoPostalCode,geoState,geoStreet,heat,heating,his,hot,hotWaterHeating,hotWaterRef,humidifier,humidity,hvac,kind,leaving,maxVal,minVal,mixed,outside,plant,primaryLoop,point,pointFunction,pressure,primaryFunction,pump,return,rtu,run,sensor,singleDuct,site,siteRef,sp,space,spaceRef,speed,steam,temp,thermostat,tz,unit,valve,vav,vavZone,water,weather,weatherCond,weatherStationRef,weatherStation,yearBuilt,zone,custom
@b-01fe,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo VAV 2-12 Supply Air Temperature,✓,"","","","","","","",@b-01f9,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-042e,"","",✓,"",Chicago,°F,"","","","","","","","","","","{sourcePointName:DisAirTemp, dataSyncRecovered:2020-07-10T01:00:10.995-04:00 New_York, inScope, backgroundPoint}"
@b-01ff,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo VAV 2-12 Zone Air Temp Setpoint,"","","","","","","","",@b-01f9,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","","","","",@b-0000,✓,"",@b-042e,"","",✓,"",Chicago,°F,"","","","","","","","","",✓,"{sourcePointName:STAT_SETPOINT, dataSyncRecovered:2020-07-10T01:00:09.627-04:00 New_York, inScope, backgroundPoint}"
@b-0200,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo VAV 2-12 Zone Temperature,"","","","","","","","",@b-01f9,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-042e,"","",✓,"",Chicago,°F,"","","","","","","","","",✓,"{sourcePointName:SPACE_TEMP, dataSyncRecovered:2020-07-10T01:00:10.87-04:00 New_York, inScope, backgroundPoint}"
@b-0201,"","","",@b-00ce,"","","","","","","","","","","","","","","","",Bravo VAV 2-13,"","","","","","","",✓,"","","",✓,"","","","","","","","","","","","","","",✓,@b-0012,"","",✓,"","","","","","","","","","","","","","","","","",✓,"",@b-0000,"","",@b-042e,"","","",✓,"","","",✓,"","","","","","","",✓,"{tu, designSource:Drawings, designHotWaterEnteringTemp:180°F, designHotWaterLeavingTemp:149°F, designHotWaterPower:8.9MMBTU/h, designHotWaterFlow:1gal/min, designAirFlow:450cfm}"
@b-0202,"",✓,"","","","","","","","","",✓,"","","",✓,✓,"","","",Bravo VAV 2-13 Damper Output,✓,"","","","","","","",@b-0201,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","","","","",@b-0000,"","",@b-042e,"","","","",Chicago,%,"","","","","","","","","","","{sourcePointName:DAMPER_CMD, dataSyncRecovered:2020-07-10T01:00:10.126-04:00 New_York, inScope, backgroundPoint}"
@b-0203,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo VAV 2-13 Discharge Air Flow,✓,"","","","","","","",@b-0201,"","","","",✓,"","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-042e,"","","","",Chicago,cfm,"","","","","","","","","","","{sourcePointName:BOX_FLOW, dataSyncRecovered:2020-07-10T01:00:07.473-04:00 New_York, inScope, backgroundPoint}"
@b-0204,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo VAV 2-13 Discharge Air Flow Setpoint,✓,"",✓,"","","","","",@b-0201,"","","","",✓,"","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","","","","",@b-0000,✓,"",@b-042e,"","","","",Chicago,cfm,"","","","","","","","","","","{sourcePointName:FLOW_STPT, dataSyncRecovered:2020-07-10T01:00:10.003-04:00 New_York, inScope, backgroundPoint}"
@b-0205,"","","","","","","","","","","",✓,"","","",✓,"","","","",Bravo VAV 2-13 Heating Valve Output,"","","","","","","","",@b-0201,"","","","","","","","","","","","","",✓,"",✓,✓,"","","","","",Number,"","","","","","","",✓,"","","","","","","","","","",@b-0000,"","",@b-042e,"","","","",Chicago,%,✓,"","",✓,"","","","","","","{sourcePointName:Htg, dataSyncRecovered:2020-07-10T01:00:10.126-04:00 New_York, inScope, backgroundPoint}"
@b-0206,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo VAV 2-13 Supply Air Temperature,✓,"","","","","","","",@b-0201,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-042e,"","",✓,"",Chicago,°F,"","","","","","","","","","","{sourcePointName:DisAirTemp, dataSyncRecovered:2020-07-10T01:00:10.126-04:00 New_York, inScope, backgroundPoint}"
@b-0207,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo VAV 2-13 Zone Air Temp Setpoint,"","","","","","","","",@b-0201,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","","","","",@b-0000,✓,"",@b-042e,"","",✓,"",Chicago,°F,"","","","","","","","","",✓,"{sourcePointName:STAT_SETPOINT, dataSyncRecovered:2020-07-10T01:00:10.62-04:00 New_York, inScope, backgroundPoint}"
@b-0208,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo VAV 2-13 Zone Temperature,"","","","","","","","",@b-0201,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-042e,"","",✓,"",Chicago,°F,"","","","","","","","","",✓,"{sourcePointName:SPACE_TEMP, dataSyncRecovered:2020-07-10T01:00:10.249-04:00 New_York, inScope, backgroundPoint}"
@b-0209,"","","",@b-00ce,"","","","","","","","","","","","","","","","",Bravo VAV 2-14,"","","","","","","",✓,"","","",✓,"","","","","","","","","","","","","","",✓,@b-0012,"","",✓,"","","","","","","","","","","","","","","","","",✓,"",@b-0000,"","",@b-042e,"","","",✓,"","","",✓,"","","","","","","",✓,"{tu, designSource:Drawings, designHotWaterEnteringTemp:180°F, designHotWaterLeavingTemp:150°F, designHotWaterPower:24.2MMBTU/h, designHotWaterFlow:2.5gal/min, designAirFlow:1450cfm}"
@b-020a,"",✓,"","","","","","","","","",✓,"","","",✓,✓,"","","",Bravo VAV 2-14 Damper Output,✓,"","","","","","","",@b-0209,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","","","","",@b-0000,"","",@b-042e,"","","","",Chicago,%,"","","","","","","","","","","{sourcePointName:DAMPER_CMD, dataSyncRecovered:2020-07-10T01:00:13.145-04:00 New_York, inScope, backgroundPoint}"
@b-020b,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo VAV 2-14 Discharge Air Flow,✓,"","","","","","","",@b-0209,"","","","",✓,"","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-042e,"","","","",Chicago,cfm,"","","","","","","","","","","{sourcePointName:BOX_FLOW, dataSyncRecovered:2020-07-10T01:00:10.249-04:00 New_York, inScope, backgroundPoint}"
@b-020c,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo VAV 2-14 Discharge Air Flow Setpoint,✓,"",✓,"","","","","",@b-0209,"","","","",✓,"","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","","","","",@b-0000,✓,"",@b-042e,"","","","",Chicago,cfm,"","","","","","","","","","","{sourcePointName:FLOW_STPT, dataSyncRecovered:2020-07-10T01:00:09.627-04:00 New_York, inScope, backgroundPoint}"
@b-020d,"","","","","","","","","","","",✓,"","","",✓,"","","","",Bravo VAV 2-14 Heating Valve Output,"","","","","","","","",@b-0209,"","","","","","","","","","","","","",✓,"",✓,✓,"","","","","",Number,"","","","","","","",✓,"","","","","","","","","","",@b-0000,"","",@b-042e,"","","","",Chicago,%,✓,"","",✓,"","","","","","","{sourcePointName:Htg, dataSyncRecovered:2020-07-10T01:00:11.258-04:00 New_York, inScope, backgroundPoint}"
@b-020e,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo VAV 2-14 Supply Air Temperature,✓,"","","","","","","",@b-0209,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-042e,"","",✓,"",Chicago,°F,"","","","","","","","","","","{sourcePointName:DisAirTemp, dataSyncRecovered:2020-07-10T01:00:09.879-04:00 New_York, inScope, backgroundPoint}"
@b-020f,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo VAV 2-14 Zone Air Temp Setpoint,"","","","","","","","",@b-0209,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","","","","",@b-0000,✓,"",@b-042e,"","",✓,"",Chicago,°F,"","","","","","","","","",✓,"{sourcePointName:STAT_SETPOINT, dataSyncRecovered:2020-07-10T01:00:10.995-04:00 New_York, inScope, backgroundPoint}"
@b-0210,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo VAV 2-14 Zone Temperature,"","","","","","","","",@b-0209,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-042e,"","",✓,"",Chicago,°F,"","","","","","","","","",✓,"{sourcePointName:SPACE_TEMP, dataSyncRecovered:2020-07-10T01:00:09.879-04:00 New_York, inScope, backgroundPoint}"
@b-0211,"","","",@b-00ce,"","","","","","","","","","","","","","","","",Bravo VAV 2-15,"","","","","","","",✓,"","","",✓,"","","","","","","","","","","","","","",✓,@b-0012,"","",✓,"","","","","","","","","","","","","","","","","",✓,"",@b-0000,"","",@b-042e,"","","",✓,"","","",✓,"","","","","","","",✓,"{tu, designSource:Drawings, designHotWaterEnteringTemp:180°F, designHotWaterLeavingTemp:149°F, designHotWaterPower:9.7MMBTU/h, designHotWaterFlow:1gal/min, designAirFlow:400cfm}"
@b-0212,"",✓,"","","","","","","","","",✓,"","","",✓,✓,"","","",Bravo VAV 2-15 Damper Output,✓,"","","","","","","",@b-0211,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","","","","",@b-0000,"","",@b-042e,"","","","",Chicago,%,"","","","","","","","","","","{sourcePointName:DAMPER_CMD, dataSyncRecovered:2020-07-10T01:00:09.752-04:00 New_York, inScope, backgroundPoint}"
@b-0213,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo VAV 2-15 Discharge Air Flow,✓,"","","","","","","",@b-0211,"","","","",✓,"","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-042e,"","","","",Chicago,cfm,"","","","","","","","","","","{sourcePointName:BOX_FLOW, dataSyncRecovered:2020-07-10T01:00:10.87-04:00 New_York, inScope, backgroundPoint}"
@b-0214,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo VAV 2-15 Discharge Air Flow Setpoint,✓,"",✓,"","","","","",@b-0211,"","","","",✓,"","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","","","","",@b-0000,✓,"",@b-042e,"","","","",Chicago,cfm,"","","","","","","","","","","{sourcePointName:FLOW_STPT, dataSyncRecovered:2020-07-10T01:00:10.374-04:00 New_York, inScope, backgroundPoint}"
@b-0215,"","","","","","","","","","","",✓,"","","",✓,"","","","",Bravo VAV 2-15 Heating Valve Output,"","","","","","","","",@b-0211,"","","","","","","","","","","","","",✓,"",✓,✓,"","","","","",Number,"","","","","","","",✓,"","","","","","","","","","",@b-0000,"","",@b-042e,"","","","",Chicago,%,✓,"","",✓,"","","","","","","{sourcePointName:Htg, dataSyncRecovered:2020-07-10T01:00:10.497-04:00 New_York, inScope, backgroundPoint}"
@b-0216,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo VAV 2-15 Supply Air Temperature,✓,"","","","","","","",@b-0211,"","","","","","","","","","","","","","","",✓,"","","","","","",Str,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-042e,"","",✓,"",Chicago,°F,"","","","","","","","","","","{sourcePointName:DisAirTemp, dataSyncRecovered:2020-07-10T01:00:10.995-04:00 New_York, inScope, backgroundPoint}"
@b-0217,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo VAV 2-15 Zone Air Temp Setpoint,"","","","","","","","",@b-0211,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","","","","",@b-0000,✓,"",@b-042e,"","",✓,"",Chicago,°F,"","","","","","","","","",✓,"{sourcePointName:STAT_SETPOINT, dataSyncRecovered:2020-07-10T01:00:10.249-04:00 New_York, inScope, backgroundPoint}"
@b-0218,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo VAV 2-15 Zone Temperature,"","","","","","","","",@b-0211,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-042e,"","",✓,"",Chicago,°F,"","","","","","","","","",✓,"{sourcePointName:SPACE_TEMP, dataSyncRecovered:2020-07-10T01:00:07.721-04:00 New_York, inScope, backgroundPoint}"
@b-0219,"","","",@b-00ce,"","","","","","","","","","","","","","","","",Bravo VAV 2-16,"","","","","","","",✓,"","","",✓,"","","","","","","","","","","","","","",✓,@b-0012,"","",✓,"","","","","","","","","","","","","","","","","",✓,"",@b-0000,"","",@b-042e,"","","",✓,"","","",✓,"","","","","","","",✓,"{tu, designSource:Drawings, designHotWaterEnteringTemp:180°F, designHotWaterLeavingTemp:149°F, designHotWaterPower:9.2MMBTU/h, designHotWaterFlow:1gal/min, designAirFlow:400cfm}"
@b-021a,"",✓,"","","","","","","","","",✓,"","","",✓,✓,"","","",Bravo VAV 2-16 Damper Output,✓,"","","","","","","",@b-0219,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","","","","",@b-0000,"","",@b-042e,"","","","",Chicago,%,"","","","","","","","","","","{sourcePointName:DAMPER_CMD, dataSyncRecovered:2020-07-10T01:00:09.627-04:00 New_York, inScope, backgroundPoint}"
@b-021b,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo VAV 2-16 Discharge Air Flow,✓,"","","","","","","",@b-0219,"","","","",✓,"","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-042e,"","","","",Chicago,cfm,"","","","","","","","","","","{sourcePointName:BOX_FLOW, dataSyncRecovered:2020-07-10T01:00:10.249-04:00 New_York, inScope, backgroundPoint}"
@b-021c,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo VAV 2-16 Discharge Air Flow Setpoint,✓,"",✓,"","","","","",@b-0219,"","","","",✓,"","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","","","","",@b-0000,✓,"",@b-042e,"","","","",Chicago,cfm,"","","","","","","","","","","{sourcePointName:FLOW_STPT, dataSyncRecovered:2020-07-10T01:00:10.745-04:00 New_York, inScope, backgroundPoint}"
@b-021d,"","","","","","","","","","","",✓,"","","",✓,"","","","",Bravo VAV 2-16 Heating Valve Output,"","","","","","","","",@b-0219,"","","","","","","","","","","","","",✓,"",✓,✓,"","","","","",Number,"","","","","","","",✓,"","","","","","","","","","",@b-0000,"","",@b-042e,"","","","",Chicago,%,✓,"","",✓,"","","","","","","{sourcePointName:Htg, dataSyncRecovered:2020-07-10T01:00:09.752-04:00 New_York, inScope, backgroundPoint}"
@b-021e,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo VAV 2-16 Supply Air Temperature,✓,"","","","","","","",@b-0219,"","","","","","","","","","","","","","","",✓,"","","","","","",Str,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-042e,"","",✓,"",Chicago,°F,"","","","","","","","","","","{sourcePointName:DisAirTemp, dataSyncRecovered:2020-07-10T01:00:10.497-04:00 New_York, inScope, backgroundPoint}"
@b-021f,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo VAV 2-16 Zone Air Temp Setpoint,"","","","","","","","",@b-0219,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","","","","",@b-0000,✓,"",@b-042e,"","",✓,"",Chicago,°F,"","","","","","","","","",✓,"{sourcePointName:STAT_SETPOINT, dataSyncRecovered:2020-07-10T01:00:09.879-04:00 New_York, inScope, backgroundPoint}"
@b-0220,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo VAV 2-16 Zone Temperature,"","","","","","","","",@b-0219,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-042e,"","",✓,"",Chicago,°F,"","","","","","","","","",✓,"{sourcePointName:SPACE_TEMP, dataSyncRecovered:2020-07-10T01:00:10.126-04:00 New_York, inScope, backgroundPoint}"
@b-0221,"","","",@b-00ce,"","","","","","","","","","","","","","","","",Bravo VAV 2-17,"","","","","","","",✓,"","","",✓,"","","","","","","","","","","","","","",✓,@b-0012,"","",✓,"","","","","","","","","","","","","","","","","",✓,"",@b-0000,"","",@b-042e,"","","",✓,"","","",✓,"","","","","","","",✓,"{tu, designSource:Drawings, designHotWaterEnteringTemp:180°F, designHotWaterLeavingTemp:149°F, designHotWaterPower:8.9MMBTU/h, designHotWaterFlow:1gal/min, designAirFlow:400cfm}"
@b-0222,"",✓,"","","","","","","","","",✓,"","","",✓,✓,"","","",Bravo VAV 2-17 Damper Output,✓,"","","","","","","",@b-0221,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","","","","",@b-0000,"","",@b-042e,"","","","",Chicago,%,"","","","","","","","","","","{sourcePointName:DAMPER_CMD, dataSyncRecovered:2020-07-10T01:00:10.249-04:00 New_York, inScope, backgroundPoint}"
@b-0223,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo VAV 2-17 Discharge Air Flow,✓,"","","","","","","",@b-0221,"","","","",✓,"","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-042e,"","","","",Chicago,cfm,"","","","","","","","","","","{sourcePointName:BOX_FLOW, dataSyncRecovered:2020-07-10T01:00:11.125-04:00 New_York, inScope, backgroundPoint}"
@b-0224,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo VAV 2-17 Discharge Air Flow Setpoint,✓,"",✓,"","","","","",@b-0221,"","","","",✓,"","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","","","","",@b-0000,✓,"",@b-042e,"","","","",Chicago,cfm,"","","","","","","","","","","{sourcePointName:FLOW_STPT, dataSyncRecovered:2020-07-10T01:00:09.879-04:00 New_York, inScope, backgroundPoint}"
@b-0225,"","","","","","","","","","","",✓,"","","",✓,"","","","",Bravo VAV 2-17 Heating Valve Output,"","","","","","","","",@b-0221,"","","","","","","","","","","","","",✓,"",✓,✓,"","","","","",Number,"","","","","","","",✓,"","","","","","","","","","",@b-0000,"","",@b-042e,"","","","",Chicago,%,✓,"","",✓,"","","","","","","{sourcePointName:Htg, dataSyncRecovered:2020-07-10T01:00:07.721-04:00 New_York, inScope, backgroundPoint}"
@b-0226,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo VAV 2-17 Supply Air Temperature,✓,"","","","","","","",@b-0221,"","","","","","","","","","","","","","","",✓,"","","","","","",Str,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-042e,"","",✓,"",Chicago,°F,"","","","","","","","","","","{sourcePointName:DisAirTemp, dataSyncRecovered:2020-07-10T01:00:10.126-04:00 New_York, inScope, backgroundPoint}"
@b-0227,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo VAV 2-17 Zone Air Temp Setpoint,"","","","","","","","",@b-0221,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","","","","",@b-0000,✓,"",@b-042e,"","",✓,"",Chicago,°F,"","","","","","","","","",✓,"{sourcePointName:STAT_SETPOINT, dataSyncRecovered:2020-07-10T01:00:09.627-04:00 New_York, inScope, backgroundPoint}"
@b-0228,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo VAV 2-17 Zone Temperature,"","","","","","","","",@b-0221,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-042e,"","",✓,"",Chicago,°F,"","","","","","","","","",✓,"{sourcePointName:SPACE_TEMP, dataSyncRecovered:2020-07-10T01:00:10.374-04:00 New_York, inScope, backgroundPoint}"
@b-0229,"","","",@b-00ce,"","","","","","","","","","","","","","","","",Bravo VAV 2-18,"","","","","","","",✓,"","","",✓,"","","","","","","","","","","","","","",✓,@b-0012,"","",✓,"","","","","","","","","","","","","","","","","",✓,"",@b-0000,"","",@b-042e,"","","",✓,"","","",✓,"","","","","","","",✓,"{tu, designSource:Drawings, designHotWaterEnteringTemp:180°F, designHotWaterLeavingTemp:152°F, designHotWaterPower:15MMBTU/h, designHotWaterFlow:1.75gal/min, designAirFlow:550cfm}"
@b-022a,"",✓,"","","","","","","","","",✓,"","","",✓,✓,"","","",Bravo VAV 2-18 Damper Output,✓,"","","","","","","",@b-0229,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","","","","",@b-0000,"","",@b-042e,"","","","",Chicago,%,"","","","","","","","","","","{sourcePointName:DAMPER_CMD, dataSyncRecovered:2020-07-10T01:00:10.745-04:00 New_York, inScope, backgroundPoint}"
@b-022b,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo VAV 2-18 Discharge Air Flow,✓,"","","","","","","",@b-0229,"","","","",✓,"","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-042e,"","","","",Chicago,cfm,"","","","","","","","","","","{sourcePointName:BOX_FLOW, dataSyncRecovered:2020-07-10T01:00:10.745-04:00 New_York, inScope, backgroundPoint}"
@b-022c,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo VAV 2-18 Discharge Air Flow Setpoint,✓,"",✓,"","","","","",@b-0229,"","","","",✓,"","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","","","","",@b-0000,✓,"",@b-042e,"","","","",Chicago,cfm,"","","","","","","","","","","{sourcePointName:FLOW_STPT, dataSyncRecovered:2020-07-10T01:00:10.87-04:00 New_York, inScope, backgroundPoint}"
@b-022d,"","","","","","","","","","","",✓,"","","",✓,"","","","",Bravo VAV 2-18 Heating Valve Output,"","","","","","","","",@b-0229,"","","","","","","","","","","","","",✓,"",✓,✓,"","","","","",Number,"","","","","","","",✓,"","","","","","","","","","",@b-0000,"","",@b-042e,"","","","",Chicago,%,✓,"","",✓,"","","","","","","{sourcePointName:Htg, dataSyncRecovered:2020-07-10T01:00:10.374-04:00 New_York, inScope, backgroundPoint}"
@b-022e,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo VAV 2-18 Supply Air Temperature,✓,"","","","","","","",@b-0229,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-042e,"","",✓,"",Chicago,°F,"","","","","","","","","","","{sourcePointName:DisAirTemp, dataSyncRecovered:2020-07-10T01:00:10.003-04:00 New_York, inScope, backgroundPoint}"
@b-022f,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo VAV 2-18 Zone Air Temp Setpoint,"","","","","","","","",@b-0229,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","","","","",@b-0000,✓,"",@b-042e,"","",✓,"",Chicago,°F,"","","","","","","","","",✓,"{sourcePointName:STAT_SETPOINT, dataSyncRecovered:2020-07-10T01:00:09.752-04:00 New_York, inScope, backgroundPoint}"
@b-0230,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo VAV 2-18 Zone Temperature,"","","","","","","","",@b-0229,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-042e,"","",✓,"",Chicago,°F,"","","","","","","","","",✓,"{sourcePointName:SPACE_TEMP, dataSyncRecovered:2020-07-10T01:00:10.003-04:00 New_York, inScope, backgroundPoint}"
@b-0231,"","","",@b-00ce,"","","","","","","","","","","","","","","","",Bravo VAV 2-19,"","","","","","","",✓,"","","",✓,"","","","","","","","","","","","","","",✓,@b-0012,"","",✓,"","","","","","","","","","","","","","","","","",✓,"",@b-0000,"","",@b-042e,"","","",✓,"","","",✓,"","","","","","","",✓,"{tu, designSource:Drawings, designHotWaterEnteringTemp:180°F, designHotWaterLeavingTemp:153°F, designHotWaterPower:6.2MMBTU/h, designHotWaterFlow:0.75gal/min, designAirFlow:350cfm}"
@b-0232,"",✓,"","","","","","","","","",✓,"","","",✓,✓,"","","",Bravo VAV 2-19 Damper Output,✓,"","","","","","","",@b-0231,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","","","","",@b-0000,"","",@b-042e,"","","","",Chicago,%,"","","","","","","","","","","{sourcePointName:DAMPER_CMD, dataSyncRecovered:2020-07-10T01:00:07.721-04:00 New_York, inScope, backgroundPoint}"
@b-0233,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo VAV 2-19 Discharge Air Flow,✓,"","","","","","","",@b-0231,"","","","",✓,"","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-042e,"","","","",Chicago,cfm,"","","","","","","","","","","{sourcePointName:BOX_FLOW, dataSyncRecovered:2020-07-10T01:00:11.258-04:00 New_York, inScope, backgroundPoint}"
@b-0234,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo VAV 2-19 Discharge Air Flow Setpoint,✓,"",✓,"","","","","",@b-0231,"","","","",✓,"","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","","","","",@b-0000,✓,"",@b-042e,"","","","",Chicago,cfm,"","","","","","","","","","","{sourcePointName:FLOW_STPT, dataSyncRecovered:2020-07-10T01:00:07.598-04:00 New_York, inScope, backgroundPoint}"
@b-0235,"","","","","","","","","","","",✓,"","","",✓,"","","","",Bravo VAV 2-19 Heating Valve Output,"","","","","","","","",@b-0231,"","","","","","","","","","","","","",✓,"",✓,✓,"","","","","",Number,"","","","","","","",✓,"","","","","","","","","","",@b-0000,"","",@b-042e,"","","","",Chicago,%,✓,"","",✓,"","","","","","","{sourcePointName:Htg, dataSyncRecovered:2020-07-10T01:00:09.627-04:00 New_York, inScope, backgroundPoint}"
@b-0236,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo VAV 2-19 Supply Air Temperature,✓,"","","","","","","",@b-0231,"","","","","","","","","","","","","","","",✓,"","","","","","",Str,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-042e,"","",✓,"",Chicago,°F,"","","","","","","","","","","{sourcePointName:DisAirTemp, dataSyncRecovered:2020-07-10T01:00:10.62-04:00 New_York, inScope, backgroundPoint}"
